"Waar wil je naartoe reizen?";"Ik wil reizen naar Varsseveld";4;"normaal";"Varsseveld"
"Waar wil je heen?";"Ik wil naar Vriezenveen";2;"normaal";"Vriezenveen"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Oss";1;"contrastief";"Oss"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Hoofddorp";3;"contrastief";"Hoofddorp"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Mantgum";4;"normaal";"Mantgum"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Westervoort";4;"normaal";"Westervoort"
"Waar wil je heen?";"Ik wil naar Hillegom";2;"normaal";"Hillegom"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Maastricht";1;"contrastief";"Maastricht"
"Waar wil je heen?";"Ik wil naar Sliedrecht";2;"normaal";"Sliedrecht"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Amersfoort";1;"contrastief";"Amersfoort"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Schinnen";3;"contrastief";"Schinnen"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Sassenheim";3;"contrastief";"Sassenheim"
"Waar wil je heen?";"Ik wil naar Akkrum";2;"normaal";"Akkrum"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Nijmegen";3;"contrastief";"Nijmegen"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Grijpskerk";3;"contrastief";"Grijpskerk"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Schiphol";1;"contrastief";"Schiphol"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Geldermalsen";1;"contrastief";"Geldermalsen"
"Waar wil je heen?";"Ik wil naar Simpelveld";2;"normaal";"Simpelveld"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Delft";4;"normaal";"Delft"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Heiloo";1;"contrastief";"Heiloo"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Sittard";3;"contrastief";"Sittard"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Ruurlo";1;"contrastief";"Ruurlo"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Tilburg";4;"normaal";"Tilburg"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Buitenpost";4;"normaal";"Buitenpost"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Gramsbergen";4;"normaal";"Gramsbergen"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Leeuwarden";4;"normaal";"Leeuwarden"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Goor";1;"contrastief";"Goor"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Uithuizen";1;"contrastief";"Uithuizen"
"Waar wil je heen?";"Ik wil naar Doetinchem";2;"normaal";"Doetinchem"
"Waar wil je heen?";"Ik wil naar Bodegraven";2;"normaal";"Bodegraven"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Daarlerveen";3;"contrastief";"Daarlerveen"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Arkel";1;"contrastief";"Arkel"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Roosendaal";4;"normaal";"Roosendaal"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Apeldoorn";3;"contrastief";"Apeldoorn"
"Waar wil je heen?";"Ik wil naar Feanwalden";2;"normaal";"Feanwalden"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Blerick";3;"contrastief";"Blerick"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Oisterwijk";1;"contrastief";"Oisterwijk"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar IJlst";1;"contrastief";"IJlst"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Sauwerd";4;"normaal";"Sauwerd"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Eygelshoven";4;"normaal";"Eygelshoven"
"Waar wil je heen?";"Ik wil naar Deurne";2;"normaal";"Deurne"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Voorhout";3;"contrastief";"Voorhout"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Wierden";4;"normaal";"Wierden"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Oudenbosch";1;"contrastief";"Oudenbosch"
"Waar wil je heen?";"Ik wil naar Ommen";2;"normaal";"Ommen"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Borne";4;"normaal";"Borne"
"Waar wil je heen?";"Ik wil naar Hoevelaken";2;"normaal";"Hoevelaken"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar De Vink";3;"contrastief";"De Vink"
"Waar wil je heen?";"Ik wil naar Twello";2;"normaal";"Twello"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Soest";3;"contrastief";"Soest"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Zwijndrecht";4;"normaal";"Zwijndrecht"
"Waar wil je heen?";"Ik wil naar Opheusden";2;"normaal";"Opheusden"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Winsum";3;"contrastief";"Winsum"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Eindhoven";3;"contrastief";"Eindhoven"
"Waar wil je heen?";"Ik wil naar Rijswijk";2;"normaal";"Rijswijk"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Heemskerk";3;"contrastief";"Heemskerk"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Cuijk";1;"contrastief";"Cuijk"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Zevenaar";1;"contrastief";"Zevenaar"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Ermelo";3;"contrastief";"Ermelo"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Landgraaf";3;"contrastief";"Landgraaf"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Alkmaar";1;"contrastief";"Alkmaar"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Hindeloopen";4;"normaal";"Hindeloopen"
"Waar wil je heen?";"Ik wil naar Duivendrecht";2;"normaal";"Duivendrecht"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Hilversum";3;"contrastief";"Hilversum"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Obdam";1;"contrastief";"Obdam"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Hoorn";3;"contrastief";"Hoorn"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Woerden";1;"contrastief";"Woerden"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Baflo";4;"normaal";"Baflo"
"Waar wil je heen?";"Ik wil naar Bloemendaal";2;"normaal";"Bloemendaal"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Boskoop";4;"normaal";"Boskoop"
"Waar wil je heen?";"Ik wil naar Heeze";2;"normaal";"Heeze"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Wijchen";1;"contrastief";"Wijchen"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Tegelen";4;"normaal";"Tegelen"
"Ik heb verstaan dat je naar Haarlem wil, klopt dit?";"Ik wil naar Chevremont";1;"contrastief";"Chevremont"
"Waar wil je heen?";"Ik wil naar Zoetermeer";2;"normaal";"Zoetermeer"
"Waar wil je heen?";"Ik wil naar Vorden";2;"normaal";"Vorden"
"Waar wil je heen?";"Ik wil naar Terborg";2;"normaal";"Terborg"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Wormerveer";4;"normaal";"Wormerveer"
"Waar wil je naartoe reizen?";"Ik wil reizen naar Schagen";4;"normaal";"Schagen"
"Dus je wil naar Rotterdam?";"Ik wil reizen naar Glanerbrug";3;"contrastief";"Glanerbrug"
